Date,Exhibition,10.00 - 11.00,11.00 - 12.00,12.00 - 13.00,13.00 - 14.00,14.00 - 15.00,15.00 - 16.00,16.00 - 17.00,17.00 - 20.00,Total
01/03/2012,Matt Darbyshire,0,0,0,3,7,3,4,3,20
29/02/2012,Matt Darbyshire,0,0,5,2,8,2,2,0,19
28/02/2012,Matt Darbyshire,0,0,8,5,0,6,5,0,24
26/02/2012,Gordon Schmidt,0,0,9,6,12,22,14,4,67
26/02/2012,Matt Darbyshire,0,0,13,11,15,15,31,14,99
25/02/2012,Gordon Schmidt,0,0,6,4,2,9,0,4,25
25/02/2012,Matt Darbyshire,0,0,11,13,17,5,23,7,76
24/02/2012,Matt Darbyshire,0,0,7,7,7,11,0,0,32
24/02/2012,Gordon Schmidt,0,0,1,1,7,2,1,0,12
23/02/2012,Matt Darbyshire,0,0,5,5,6,8,7,0,31
23/02/2012,Gordon Schmidt,0,0,1,3,2,3,4,0,13
22/02/2012,Matt Darbyshire,0,0,4,8,4,1,3,0,20
22/02/2012,Gordon Schmidt,0,0,4,3,0,0,4,0,11
21/02/2012,Matt Darbyshire,0,0,7,2,7,4,2,0,22
21/02/2012,Gordon Schmidt,0,0,4,2,3,1,1,0,11
19/02/2012,Matt Darbyshire,0,0,21,10,13,20,4,2,70
19/02/2012,Gordon Schmidt,0,0,15,3,10,17,5,3,53
18/02/2012,Matt Darbyshire,0,0,5,20,41,20,23,4,113
18/02/2012,Gordon Schmidt,0,0,2,1,18,11,7,3,42
17/02/2012,Matt Darbyshire,0,0,7,13,7,10,9,0,46
17/02/2012,Gordon Schmidt,0,0,2,3,0,1,5,0,11
16/02/2012,Matt Darbyshire,0,0,13,2,6,15,6,0,42
16/02/2012,Gordon Schmidt,0,0,2,0,5,11,2,0,20
15/02/2012,Matt Darbyshire,0,0,14,1,15,9,3,0,42
15/02/2012,Gordon Schmidt,0,0,5,1,1,9,5,0,21
14/02/2012,Matt Darbyshire,0,0,6,9,13,4,6,0,38
14/02/2012,Gordon Schmidt,0,0,2,1,6,0,3,0,12
12/02/2012,Matt Darbyshire,0,0,9,12,17,22,20,2,82
12/02/2012,Gordon Schmidt,0,0,1,5,15,17,9,0,47
11/02/2012,Matt Darbyshire,0,0,10,12,30,28,18,11,109
11/02/2012,Gordon Schmidt,0,0,3,4,21,10,7,0,45
10/02/2012,Matt Darbyshire,0,0,3,7,6,4,2,0,22
10/02/2012,Gordon Schmidt,0,0,1,5,4,4,6,0,20
09/02/2012,Matt Darbyshire,0,0,21,3,2,6,1,0,33
09/02/2012,Gordon Schmidt,0,0,12,1,1,4,1,0,19
08/02/2012,Gordon Schmidt,0,0,0,1,2,2,2,0,7
08/02/2012,Matt Darbyshire,0,0,1,3,4,1,2,0,11
07/02/2012,Matt Darbyshire,0,0,5,6,3,12,4,0,30
07/02/2012,Gordon Schmidt,0,0,3,4,4,4,1,0,16
05/02/2012,Matt Darbyshire,0,0,12,23,27,26,16,3,107
05/02/2012,Gordon Schmidt,0,0,5,10,8,5,5,4,37
04/02/2012,Matt Darbyshire,0,0,18,13,23,12,20,5,91
04/02/2012,Gordon Schmidt,0,0,9,7,11,4,9,0,40
03/02/2012,Gordon Schmidt,0,0,0,0,4,10,4,0,18
03/02/2012,Matt Darbyshire,0,0,2,2,11,7,2,0,24
02/02/2012,Matt Darbyshire,0,0,7,15,9,12,2,0,45
02/02/2012,Gordon Schmidt,0,0,2,1,8,3,3,0,17
01/02/2012,Matt Darbyshire,0,0,3,9,4,5,0,0,21
01/02/2012,Gordon Schmidt,0,0,2,3,0,2,1,0,8
31/01/2012,Matt Darbyshire,0,0,1,8,19,14,11,0,53
